Costeleta de porco gorda crua,Carne e Derivados Criação e Caça,1470.0 kJ,355.0 kcal,31.8 g,0.0 g,150.0 mg,17.3 g,74.0 mg
Costeleta de porco gorda grelhada,Carne e Derivados Criação e Caça,1270.0 kJ,305.0 kcal,23.1 g,0.0 g,480.0 mg,24.3 g,111.0 mg
Costeleta de porco meio gorda crua,Carne e Derivados Criação e Caça,921.0 kJ,221.0 kcal,15.8 g,0.0 g,250.0 mg,19.8 g,66.0 mg
Costeleta de porco meio gorda estufada com azeite e banha,Carne e Derivados Criação e Caça,1160.0 kJ,280.0 kcal,20.7 g,0.7 g,1100.0 mg,21.1 g,71.0 mg
Costeleta de porco meio gorda estufada com azeite e margarina,Carne e Derivados Criação e Caça,1150.0 kJ,277.0 kcal,20.4 g,0.7 g,1150.0 mg,21.1 g,70.0 mg
Costeleta de porco meio gorda estufada com margarina,Carne e Derivados Criação e Caça,1130.0 kJ,272.0 kcal,19.9 g,0.7 g,1220.0 mg,21.1 g,70.0 mg
Costeleta de porco meio gorda estufada com óleo alimentar e banha,Carne e Derivados Criação e Caça,1160.0 kJ,280.0 kcal,20.7 g,0.7 g,1100.0 mg,21.1 g,71.0 mg
Costeleta de porco meio gorda estufada sem molho,Carne e Derivados Criação e Caça,1180.0 kJ,284.0 kcal,19.6 g,0.0 g,700.0 mg,26.9 g,91.0 mg
Costeleta de porco meio gorda grelhada,Carne e Derivados Criação e Caça,1090.0 kJ,261.0 kcal,17.0 g,0.0 g,600.0 mg,27.0 g,96.0 mg
Costeleta de porco meio gorda panada,Carne e Derivados Criação e Caça,1420.0 kJ,340.0 kcal,24.1 g,8.6 g,1020.0 mg,22.1 g,113.0 mg
Entrecosto de porco cru,Carne e Derivados Criação e Caça,792.0 kJ,190.0 kcal,12.4 g,0.0 g,180.0 mg,19.6 g,66.0 mg
Entrecosto de porco cozido,Carne e Derivados Criação e Caça,983.0 kJ,235.0 kcal,14.2 g,0.0 g,520.0 mg,26.9 g,96.0 mg
Entrecosto de porco estufado com azeite e banha,Carne e Derivados Criação e Caça,1020.0 kJ,246.0 kcal,17.1 g,0.7 g,1050.0 mg,20.9 g,71.0 mg
Entrecosto de porco estufado com azeite e margarina,Carne e Derivados Criação e Caça,1010.0 kJ,244.0 kcal,16.8 g,0.7 g,1100.0 mg,20.9 g,70.0 mg
Entrecosto de porco estufado com margarina,Carne e Derivados Criação e Caça,995.0 kJ,239.0 kcal,16.3 g,0.7 g,1180.0 mg,20.9 g,70.0 mg
Entrecosto de porco estufado com óleo alimentar e banha,Carne e Derivados Criação e Caça,1020.0 kJ,246.0 kcal,17.1 g,0.7 g,1050.0 mg,20.9 g,71.0 mg
Entrecosto de porco estufado sem molho,Carne e Derivados Criação e Caça,1020.0 kJ,245.0 kcal,15.4 g,0.0 g,300.0 mg,26.6 g,91.0 mg
Entrecostode porco grelhado,Carne e Derivados Criação e Caça,1010.0 kJ,243.0 kcal,15.1 g,0.0 g,500.0 mg,26.8 g,90.0 mg
Lombo de porco cru,Carne e Derivados Criação e Caça,551.0 kJ,131.0 kcal,4.7 g,0.0 g,130.0 mg,22.2 g,58.0 mg
Lombo de porco assado com azeite e margarina,Carne e Derivados Criação e Caça,916.0 kJ,219.0 kcal,11.1 g,0.2 g,1200.0 mg,27.5 g,72.0 mg
Lombo de porco assado com margarina,Carne e Derivados Criação e Caça,872.0 kJ,208.0 kcal,10.6 g,0.0 g,1120.0 mg,28.2 g,79.0 mg
Lombo de porco assado com óleo alimentar e margarina,Carne e Derivados Criação e Caça,916.0 kJ,219.0 kcal,11.1 g,0.2 g,1200.0 mg,27.5 g,72.0 mg
Lombo de porco assado sem molho,Carne e Derivados Criação e Caça,882.0 kJ,210.0 kcal,8.8 g,0.0 g,480.0 mg,32.7 g,86.0 mg
Lombo de porco frito com manteiga,Carne e Derivados Criação e Caça,756.0 kJ,180.0 kcal,7.2 g,0.0 g,400.0 mg,28.8 g,85.0 mg
Lombo de porco frito com margarina,Carne e Derivados Criação e Caça,771.0 kJ,184.0 kcal,7.6 g,0.0 g,420.0 mg,28.8 g,82.0 mg
Lombo de porco grelhado,Carne e Derivados Criação e Caça,794.0 kJ,189.0 kcal,8.1 g,0.0 g,420.0 mg,29.1 g,81.0 mg
Lombo de porco panado,Carne e Derivados Criação e Caça,1040.0 kJ,248.0 kcal,12.5 g,8.5 g,900.0 mg,25.3 g,112.0 mg
Perna de porco gorda crua,Carne e Derivados Criação e Caça,992.0 kJ,239.0 kcal,18.5 g,0.0 g,140.0 mg,18.1 g,71.0 mg
Perna de porco gorda assada com azeite e margarina,Carne e Derivados Criação e Caça,1460.0 kJ,353.0 kcal,28.2 g,0.2 g,1220.0 mg,22.4 g,88.0 mg
Perna de porco gorda assada com margarina,Carne e Derivados Criação e Caça,1440.0 kJ,347.0 kcal,27.6 g,0.2 g,1300.0 mg,22.4 g,88.0 mg
Perna de porco gorda assada com óleo alimentar e margarina,Carne e Derivados Criação e Caça,1460.0 kJ,353.0 kcal,28.2 g,0.2 g,1220.0 mg,22.4 g,88.0 mg
Perna de porco gorda assada sem molho,Carne e Derivados Criação e Caça,1180.0 kJ,283.0 kcal,19.2 g,0.0 g,500.0 mg,27.6 g,108.0 mg
Perna de porco gorda grelhada,Carne e Derivados Criação e Caça,1200.0 kJ,287.0 kcal,20.6 g,0.0 g,450.0 mg,25.5 g,106.0 mg
Perna de porco magra crua,Carne e Derivados Criação e Caça,634.0 kJ,152.0 kcal,7.5 g,0.0 g,220.0 mg,21.0 g,63.0 mg
Perna de porco magra assada com azeite e margarina,Carne e Derivados Criação e Caça,1020.0 kJ,245.0 kcal,14.6 g,0.2 g,1300.0 mg,26.0 g,78.0 mg
Perna de porco magra assada com margarina,Carne e Derivados Criação e Caça,998.0 kJ,239.0 kcal,14.0 g,0.2 g,1380.0 mg,26.0 g,78.0 mg
Perna de porco magra assada com óleo alimentar e margarina,Carne e Derivados Criação e Caça,1020.0 kJ,244.0 kcal,14.5 g,0.2 g,1300.0 mg,26.0 g,78.0 mg
Perna de porco magra assada sem molho,Carne e Derivados Criação e Caça,893.0 kJ,213.0 kcal,9.9 g,0.0 g,600.0 mg,31.0 g,93.0 mg
Perna de porco magra estufada com azeite e banha,Carne e Derivados Criação e Caça,858.0 kJ,206.0 kcal,11.9 g,0.7 g,1080.0 mg,22.4 g,68.0 mg
